Brawler_1,Brawler_2,Weight
BULL,EMZ,14
BULL,FANG,21
BULL,FINX,1
BULL,FRANK,22
BULL,GALE,2
BULL,GENE,5
BULL,GRAY,13
BULL,GRIFF,17
BULL,GROM,8
BULL,GUS,9
BULL,HANK,3
BULL,JACKY,10
BULL,JAE-YONG,6
BULL,JANET,4
BULL,JESSIE,13
BULL,JUJU,4
BULL,KAZE,4
BULL,KENJI,15
BULL,KIT,20
BULL,LARRY & LAWRIE,3
BULL,LEON,13
BULL,LILY,11
BULL,LOLA,4
BULL,LOU,4
BULL,LUMI,13
BULL,MAISIE,4
BULL,MANDY,23
BULL,MAX,9
BULL,MEEPLE,3
BULL,MEG,8
BULL,MELODIE,13
BULL,MICO,7
BULL,MOE,5
BULL,MORTIS,82
BULL,MR. P,2
BULL,NANI,2
