Brawler_1,Brawler_2,Weight
BIBI,EDGAR,160
BIBI,EL PRIMO,69
BIBI,EMZ,64
BIBI,EVE,6
BIBI,FANG,157
BIBI,FINX,18
BIBI,FRANK,91
BIBI,GALE,43
BIBI,GENE,19
BIBI,GRAY,26
BIBI,GRIFF,76
BIBI,GROM,55
BIBI,GUS,50
BIBI,HANK,29
BIBI,JACKY,27
BIBI,JAE-YONG,15
BIBI,JANET,50
BIBI,JESSIE,53
BIBI,JUJU,10
BIBI,KAZE,51
BIBI,KENJI,72
BIBI,KIT,75
BIBI,LARRY & LAWRIE,18
BIBI,LEON,54
BIBI,LILY,64
BIBI,LOLA,13
BIBI,LOU,14
BIBI,LUMI,28
BIBI,MAISIE,46
BIBI,MANDY,99
BIBI,MAX,53
BIBI,MEEPLE,17
BIBI,MEG,19
BIBI,MELODIE,39
BIBI,MICO,32
BIBI,MOE,27
BIBI,MORTIS,231
BIBI,MR. P,37
BIBI,NANI,11
BIBI,NITA,46
BIBI,OLLIE,10
BIBI,OTIS,8
BIBI,PAM,14
BIBI,PEARL,16
BIBI,PENNY,60
BIBI,PIPER,50
BIBI,POCO,30
BIBI,R-T,24
BIBI,RICO,93
BIBI,ROSA,12
BIBI,RUFFS,5
BIBI,SAM,9
BIBI,SANDY,42
BIBI,SHADE,55
BIBI,SHELLY,39
BIBI,SPIKE,56
BIBI,SPROUT,15
BIBI,SQUEAK,65
BIBI,STU,66
BIBI,SURGE,61
BIBI,TARA,49
BIBI,TICK,153
BIBI,WILLOW,7
BO,BO,8
BO,BONNIE,107
BO,BROCK,272
BO,BULL,134
BO,BUSTER,33
BO,BUZZ,77
BO,BYRON,163
BO,CARL,145
BO,CHARLIE,78
BO,CHESTER,85
BO,CHUCK,59
BO,CLANCY,45
BO,COLETTE,235
BO,COLT,149
BO,CORDELIUS,134
BO,CROW,298
BO,DARRYL,134
BO,DOUG,124
BO,DRACO,84
BO,DYNAMIKE,232
BO,EDGAR,428
BO,EL PRIMO,93
BO,EMZ,196
BO,EVE,44
BO,FANG,536
BO,FINX,34
BO,FRANK,144
BO,GALE,48
BO,GENE,55
BO,GRAY,78
BO,GRIFF,185
BO,GROM,199
BO,GUS,119
BO,HANK,58
BO,JACKY,51
BO,JAE-YONG,67
BO,JANET,62
BO,JESSIE,197
BO,JUJU,38
BO,KAZE,175
BO,KENJI,195
BO,KIT,172
BO,LARRY & LAWRIE,33
BO,LEON,120
BO,LILY,277
BO,LOLA,22
BO,LOU,50
BO,LUMI,67
BO,MAISIE,50
BO,MANDY,426
BO,MAX,54
BO,MEEPLE,61
BO,MEG,35
BO,MELODIE,77
BO,MICO,157
BO,MOE,21
BO,MORTIS,452
BO,MR. P,185
BO,NANI,48
BO,NITA,81
BO,OLLIE,21
BO,OTIS,33
BO,PAM,51
BO,PEARL,36
BO,PENNY,266
BO,PIPER,258
BO,POCO,88
BO,R-T,55
BO,RICO,189
BO,ROSA,27
BO,RUFFS,22
BO,SAM,17
BO,SANDY,120
BO,SHADE,93
BO,SHELLY,75
