Brawler_1,Brawler_2,Weight
BELLE,SPIKE,24
BELLE,SPROUT,25
BELLE,SQUEAK,23
BELLE,STU,10
BELLE,SURGE,7
BELLE,TARA,11
BELLE,TICK,34
BELLE,WILLOW,6
BERRY,BIBI,11
BERRY,BO,12
BERRY,BONNIE,1
BERRY,BROCK,22
BERRY,BULL,8
BERRY,BUSTER,6
BERRY,BUZZ,10
BERRY,BYRON,3
BERRY,CARL,4
BERRY,CHARLIE,3
BERRY,CHESTER,8
BERRY,CHUCK,31
BERRY,CLANCY,2
BERRY,COLETTE,28
BERRY,COLT,25
BERRY,CORDELIUS,15
BERRY,CROW,22
BERRY,DARRYL,8
BERRY,DOUG,28
BERRY,DRACO,6
BERRY,DYNAMIKE,11
BERRY,EDGAR,39
BERRY,EL PRIMO,24
BERRY,EMZ,18
BERRY,EVE,1
BERRY,FANG,19
BERRY,FINX,1
BERRY,FRANK,8
BERRY,GENE,9
BERRY,GRAY,6
BERRY,GRIFF,13
BERRY,GROM,12
BERRY,GUS,10
BERRY,HANK,5
BERRY,JACKY,8
BERRY,JAE-YONG,5
BERRY,JANET,3
BERRY,JESSIE,12
BERRY,JUJU,1
BERRY,KAZE,6
BERRY,KENJI,18
BERRY,KIT,10
BERRY,LARRY & LAWRIE,5
BERRY,LEON,6
BERRY,LILY,10
BERRY,LOLA,2
BERRY,LOU,5
BERRY,LUMI,4
BERRY,MAISIE,5
BERRY,MANDY,35
BERRY,MAX,5
BERRY,MEEPLE,4
BERRY,MEG,7
BERRY,MELODIE,6
BERRY,MICO,20
BERRY,MOE,4
BERRY,MORTIS,30
BERRY,MR. P,6
BERRY,NANI,6
BERRY,NITA,12
BERRY,OLLIE,1
BERRY,OTIS,2
BERRY,PAM,5
BERRY,PEARL,3
BERRY,PENNY,3
BERRY,PIPER,15
BERRY,POCO,9
BERRY,R-T,3
BERRY,RICO,13
BERRY,ROSA,2
BERRY,RUFFS,6
BERRY,SAM,3
BERRY,SANDY,2
BERRY,SHADE,10
BERRY,SHELLY,4
BERRY,SPIKE,15
BERRY,SPROUT,2
BERRY,SQUEAK,5
BERRY,STU,10
BERRY,SURGE,6
BERRY,TARA,10
BERRY,TICK,14
BERRY,WILLOW,1
BIBI,BO,30
BIBI,BONNIE,2
BIBI,BROCK,26
BIBI,BULL,25
BIBI,BUSTER,6
BIBI,BUZZ,32
BIBI,BYRON,6
BIBI,CARL,24
BIBI,CHARLIE,7
BIBI,CHESTER,18
BIBI,CHUCK,7
BIBI,CLANCY,4
BIBI,COLETTE,34
BIBI,COLT,58
BIBI,CORDELIUS,25
BIBI,CROW,63
BIBI,DARRYL,13
BIBI,DOUG,14
BIBI,DRACO,6
BIBI,DYNAMIKE,109
BIBI,EDGAR,49
BIBI,EL PRIMO,13
BIBI,EMZ,34
BIBI,EVE,4
BIBI,FANG,42
BIBI,FINX,2
BIBI,FRANK,31
BIBI,GALE,14
BIBI,GENE,1
BIBI,GRAY,13
BIBI,GRIFF,21
BIBI,GROM,21
BIBI,GUS,9
BIBI,HANK,13
BIBI,JACKY,12
BIBI,JAE-YONG,10
BIBI,JANET,9
BIBI,JESSIE,25
BIBI,JUJU,2
BIBI,KAZE,42
BIBI,KENJI,29
BIBI,KIT,34
BIBI,LARRY & LAWRIE,2
BIBI,LEON,24
BIBI,LILY,14
BIBI,LOLA,3
BIBI,LOU,4
BIBI,LUMI,10
BIBI,MAISIE,12
BIBI,MANDY,27
BIBI,MAX,6
BIBI,MEEPLE,6
BIBI,MEG,11
BIBI,MELODIE,13
BIBI,MICO,15
BIBI,MOE,4
BIBI,MORTIS,171
BIBI,MR. P,7
BIBI,NANI,5
BIBI,NITA,16
BIBI,OLLIE,7
BIBI,OTIS,5
BIBI,PAM,1
BIBI,PEARL,6
BIBI,PENNY,6
BIBI,PIPER,17
BIBI,POCO,16
BIBI,R-T,9
BIBI,RICO,49
BIBI,ROSA,5
BIBI,RUFFS,1
BIBI,SAM,5
BIBI,SANDY,11
BIBI,SHADE,16
BIBI,SHELLY,13
BIBI,SPIKE,51
BIBI,SPROUT,3
BIBI,SQUEAK,13
BIBI,STU,44
BIBI,SURGE,37
BIBI,TARA,28
BIBI,TICK,26
BIBI,WILLOW,7
BO,BO,1
BO,BONNIE,5
BO,BROCK,36
BO,BULL,20
BO,BUSTER,13
BO,BUZZ,17
BO,BYRON,27
BO,CARL,19
BO,CHARLIE,7
BO,CHESTER,21
BO,CHUCK,7
BO,CLANCY,8
BO,COLETTE,86
BO,COLT,47
BO,CORDELIUS,25
BO,CROW,43
BO,DARRYL,9
BO,DOUG,12
BO,DRACO,17
BO,DYNAMIKE,50
BO,EDGAR,85
BO,EL PRIMO,24
BO,EMZ,53
BO,EVE,8
BO,FANG,70
BO,FINX,5
BO,FRANK,29
BO,GALE,8
BO,GENE,14
BO,GRAY,12
BO,GRIFF,47
BO,GROM,33
BO,GUS,19
BO,HANK,13
BO,JACKY,15
BO,JAE-YONG,8
BO,JANET,11
BO,JESSIE,30
BO,JUJU,12
BO,KAZE,22
BO,KENJI,45
BO,KIT,40
BO,LARRY & LAWRIE,5
BO,LEON,38
BO,LILY,34
BO,LOLA,5
BO,LOU,15
BO,LUMI,7
BO,MAISIE,5
BO,MANDY,61
BO,MAX,10
BO,MEEPLE,9
BO,MEG,4
BO,MELODIE,5
BO,MICO,14
BO,MOE,2
BO,MORTIS,98
BO,MR. P,25
BO,NANI,12
BO,NITA,15
BO,OLLIE,5
