Brawler_1,Brawler_2,Weight
BEA,WILLOW,7
BELLE,BERRY,4
BELLE,BIBI,13
BELLE,BO,32
BELLE,BONNIE,15
BELLE,BROCK,54
BELLE,BULL,14
BELLE,BUSTER,7
BELLE,BUZZ,8
BELLE,BYRON,26
BELLE,CARL,19
BELLE,CHARLIE,9
BELLE,CHESTER,13
BELLE,CHUCK,5
BELLE,CLANCY,1
BELLE,COLETTE,15
BELLE,COLT,55
BELLE,CORDELIUS,2
BELLE,CROW,30
BELLE,DARRYL,18
BELLE,DOUG,10
BELLE,DRACO,8
BELLE,DYNAMIKE,47
BELLE,EDGAR,117
BELLE,EL PRIMO,20
BELLE,EMZ,29
BELLE,EVE,3
BELLE,FANG,112
BELLE,FINX,1
BELLE,FRANK,23
BELLE,GALE,13
BELLE,GENE,8
BELLE,GRAY,17
BELLE,GRIFF,18
BELLE,GROM,27
BELLE,GUS,37
BELLE,HANK,11
BELLE,JACKY,4
BELLE,JAE-YONG,2
BELLE,JANET,8
BELLE,JESSIE,25
BELLE,JUJU,7
BELLE,KAZE,7
BELLE,KENJI,9
BELLE,KIT,14
BELLE,LARRY & LAWRIE,4
BELLE,LEON,16
BELLE,LILY,11
BELLE,LOLA,10
BELLE,LOU,1
BELLE,LUMI,9
BELLE,MAISIE,13
BELLE,MANDY,57
BELLE,MAX,10
BELLE,MEEPLE,7
BELLE,MEG,8
BELLE,MELODIE,7
BELLE,MICO,12
BELLE,MORTIS,45
BELLE,MR. P,11
BELLE,NANI,9
BELLE,NITA,19
BELLE,OLLIE,5
BELLE,PAM,8
BELLE,PEARL,8
BELLE,PENNY,23
BELLE,PIPER,53
BELLE,POCO,11
BELLE,R-T,8
BELLE,RICO,28
BELLE,ROSA,4
BELLE,RUFFS,1
BELLE,SAM,4
BELLE,SANDY,65
BELLE,SHADE,12
BELLE,SHELLY,18
BELLE,SPIKE,35
BELLE,SPROUT,6
BELLE,SQUEAK,37
BELLE,STU,23
BELLE,SURGE,10
BELLE,TARA,22
BELLE,TICK,47
BELLE,WILLOW,5
BERRY,BERRY,1
BERRY,BIBI,12
BERRY,BO,16
BERRY,BONNIE,7
BERRY,BROCK,24
BERRY,BULL,11
BERRY,BUSTER,2
BERRY,BUZZ,8
BERRY,BYRON,7
BERRY,CARL,14
BERRY,CHARLIE,4
BERRY,CHESTER,2
BERRY,CHUCK,1
BERRY,CLANCY,5
BERRY,COLETTE,11
BERRY,COLT,25
BERRY,CORDELIUS,8
BERRY,CROW,13
BERRY,DARRYL,13
BERRY,DOUG,10
BERRY,DRACO,5
BERRY,DYNAMIKE,28
BERRY,EDGAR,40
BERRY,EL PRIMO,13
BERRY,EMZ,19
BERRY,EVE,1
BERRY,FANG,33
BERRY,FINX,2
BERRY,FRANK,35
BERRY,GALE,5
BERRY,GENE,10
BERRY,GRAY,1
BERRY,GRIFF,15
BERRY,GROM,10
BERRY,GUS,10
BERRY,HANK,8
BERRY,JACKY,12
BERRY,JAE-YONG,4
